step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
210,0.2993323802947998,0.8802083134651184,,0.284232219060262,0.84375,,,,,2025-09-11T18:14:08.7810000Z
211,0.340671569108963,0.828125,,,,,,,,2025-09-11T18:14:10.6930000Z
212,0.2868020236492157,0.8541666865348816,,,,,,,,2025-09-11T18:14:11.9300000Z
213,0.31476330757141113,0.8489583134651184,,,,,,,,2025-09-11T18:14:13.1790000Z
214,0.2841779291629791,0.8854166865348816,,,,,,,,2025-09-11T18:14:14.4260000Z
215,0.27020958065986633,0.8385416865348816,,,,,,,,2025-09-11T18:14:15.6630000Z
216,0.2909933626651764,0.8541666865348816,,,,,,,,2025-09-11T18:14:16.8930000Z
217,0.24514104425907135,0.9010416865348816,,,,,,,,2025-09-11T18:14:18.1260000Z
218,0.33411821722984314,0.8229166865348816,,,,,,,,2025-09-11T18:14:19.3700000Z
219,0.3654516637325287,0.8229166865348816,,,,,,,,2025-09-11T18:14:20.3260000Z
220,0.3162047564983368,0.8385416865348816,,0.3377153178056081,0.8229166666666666,,,,,2025-09-11T18:14:25.1070000Z
221,0.29021957516670227,0.859375,,,,,,,,2025-09-11T18:14:27.0040000Z
222,0.2891151010990143,0.859375,,,,,,,,2025-09-11T18:14:28.2510000Z
223,0.29097533226013184,0.8645833134651184,,,,,,,,2025-09-11T18:14:29.4790000Z
224,0.28727540373802185,0.8802083134651184,,,,,,,,2025-09-11T18:14:30.7120000Z
225,0.2834576368331909,0.8697916865348816,,,,,,,,2025-09-11T18:14:31.9530000Z
226,0.2725185751914978,0.8958333134651184,,,,,,,,2025-09-11T18:14:33.1920000Z
227,0.3202827274799347,0.84375,,,,,,,,2025-09-11T18:14:34.4350000Z
228,0.28001463413238525,0.8645833134651184,,,,,,,,2025-09-11T18:14:35.6830000Z
229,0.2842818796634674,0.859375,,,,,,,,2025-09-11T18:14:36.9280000Z
